City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Kamenka,RU,2021-10-09 04:54:27,51.3223,42.7678,40.51,63,51,4.27
242,Abancay,PE,2021-10-09 04:54:27,-13.6339,-72.8814,60.3,89,92,2.73
243,Shizilu,CN,2021-10-09 04:54:27,35.1711,118.8289,78.51,72,86,1.68
244,Ribeira Grande,PT,2021-10-09 04:54:28,38.5167,-28.7,69.26,65,55,8.66
245,Sisimiut,GL,2021-10-09 04:54:28,66.9395,-53.6735,27.39,58,9,8.05
246,Manzhouli,CN,2021-10-09 04:54:29,49.6,117.4333,36.03,97,100,12.59
247,Werda,BW,2021-10-09 04:54:29,-25.2667,23.2833,63.59,12,0,5.79
248,Port Hardy,CA,2021-10-09 04:54:29,50.6996,-127.4199,50.18,93,90,5.75
249,Kahului,US,2021-10-09 04:54:30,20.8947,-156.47,78.06,84,16,5.99
250,Shar,KZ,2021-10-09 04:54:30,49.5886,81.0453,46.62,45,6,12.95
251,Ulaangom,MN,2021-10-09 04:54:30,49.9811,92.0667,42.6,33,9,3.36
252,Tongzi,CN,2021-10-09 04:54:31,28.7829,105.0877,67.39,84,100,5.79
253,Mogadishu,SO,2021-10-09 04:52:07,2.0371,45.3438,80.47,94,40,11.5
254,San Patricio,US,2021-10-09 04:54:31,28.017,-97.5169,78.84,69,9,6.82
255,Bilibino,RU,2021-10-09 04:54:31,68.0546,166.4372,6.12,96,47,3.18
256,The Valley,AI,2021-10-09 04:54:32,18.217,-63.0578,84.06,71,100,18.5
257,Quelimane,MZ,2021-10-09 04:54:32,-17.8786,36.8883,62.55,88,0,1.99
258,Agropoli,IT,2021-10-09 04:54:33,40.3469,14.9966,62.76,83,93,6.46
259,Erzin,TR,2021-10-09 04:54:33,36.9559,36.2,57.72,23,0,3.53
260,Lensk,RU,2021-10-09 04:54:33,60.7253,114.9278,35.58,82,100,12.21
261,Ancud,CL,2021-10-09 04:54:34,-41.8697,-73.8203,44.42,92,2,4.65
262,Krasnyy Chikoy,RU,2021-10-09 04:54:34,50.3643,108.7512,37.44,69,100,10.51
263,Arraial Do Cabo,BR,2021-10-09 04:53:34,-22.9661,-42.0278,67.96,69,100,10.07
264,Yuksekova,TR,2021-10-09 04:54:35,37.5736,44.2872,36.23,75,0,0.0
265,East London,ZA,2021-10-09 04:54:35,-33.0153,27.9116,61.74,72,0,10.36
266,Taoudenni,ML,2021-10-09 04:50:00,22.6783,-3.9836,85.53,11,66,4.29
267,Ferrol,ES,2021-10-09 04:54:36,43.4832,-8.2369,56.68,90,83,6.64
268,Codrington,AU,2021-10-09 04:54:36,-38.2667,141.9667,58.82,72,91,17.0
269,Sinop,TR,2021-10-09 04:54:36,41.7711,34.8709,54.27,73,96,6.46
270,Camacha,PT,2021-10-09 04:54:37,33.0833,-16.3333,68.76,68,75,10.36
271,Atambua,ID,2021-10-09 04:54:37,-9.1061,124.8925,87.58,45,21,2.21
272,Ahuimanu,US,2021-10-09 04:54:37,21.4447,-157.8378,79.75,67,75,14.97
273,Clyde River,CA,2021-10-09 04:54:38,70.4692,-68.5914,31.95,92,100,10.09
274,Garissa,KE,2021-10-09 04:54:38,-0.4536,39.6401,79.38,70,25,15.73
275,Dengfeng,CN,2021-10-09 04:54:38,34.4553,113.0281,64.13,79,99,4.81
276,Canutama,BR,2021-10-09 04:54:08,-6.5339,-64.3831,72.52,91,67,2.39
277,Naze,JP,2021-10-09 04:54:39,28.3667,129.4833,79.72,83,38,18.75
278,Iqaluit,CA,2021-10-09 04:54:39,63.7506,-68.5145,35.33,87,75,13.0
279,Hervey Bay,AU,2021-10-09 04:54:39,-25.2986,152.8535,81.03,69,0,10.25
280,Vanimo,PG,2021-10-09 04:54:40,-2.6741,141.3028,85.71,73,80,6.96
281,Mangai,CD,2021-10-09 04:54:40,-4.05,19.5333,70.43,95,55,0.29
282,Bara,NG,2021-10-09 04:54:40,10.3744,10.7288,74.52,64,100,1.03
283,Dubbo,AU,2021-10-09 04:54:41,-32.25,148.6167,82.53,32,40,12.66
284,Gravdal,NO,2021-10-09 04:54:41,68.1214,13.5031,51.26,85,100,17.05
285,Copperas Cove,US,2021-10-09 04:54:41,31.1241,-97.9031,74.03,66,1,5.75
286,La Ronge,CA,2021-10-09 04:53:02,55.1001,-105.2842,48.45,61,1,9.22
287,Ullapool,GB,2021-10-09 04:54:42,57.8987,-5.1604,59.34,92,100,4.54
288,Miri,MY,2021-10-09 04:54:42,4.4148,114.0089,91.54,58,20,10.36
289,Tautira,PF,2021-10-09 04:54:43,-17.7333,-149.15,78.82,71,57,1.16
290,Santa Fe,AR,2021-10-09 04:54:43,-31.6333,-60.7,57.97,65,0,6.8
291,Nemuro,JP,2021-10-09 04:54:43,43.3236,145.575,68.43,66,0,1.52
292,Petropavlovsk-Kamchatskiy,RU,2021-10-09 04:54:44,53.0452,158.6483,48.79,46,75,11.18
293,Ushtobe,KZ,2021-10-09 04:54:44,45.2514,77.9838,51.76,27,46,7.65
